nitrogen,phosphorus,potassium,ph,humidity_avg,temp_avg,precip_avg,target_crop,region_city
0.284,8.902,254.987,5.56,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.23,8.898,310.09,5.56,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2375,16.098,131.747,5.62,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,7.103,316.18,5.3,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.1679,8.462,82.48,5.75,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,6.197,360.591,5.26,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,56.046,701.198,5.45,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.2992,10.201,284.279,5.53,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,2.901,223.778,5.3,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.1679,3.318,90.692,5.64,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,129.258,930.028,6.75,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.1679,9.679,41.134,5.75,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.284,9.139,187.123,6.0,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.284,2.219,112.914,5.95,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2375,12.954,172.263,5.41,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1679,6.996,92.034,5.9,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,2.917,180.743,5.47,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2518,7.549,241.465,5.79,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1679,7.325,55.537,6.1,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1679,57.619,107.897,5.41,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.1679,83.131,311.258,5.3,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,3.805,198.994,5.14,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.2518,6.146,230.77,5.61,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2518,7.077,255.9,5.99,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2375,85.046,293.087,5.58,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,1.938,211.631,5.48,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,1.635,204.747,5.2,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.2518,7.526,166.837,5.65,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2518,5.142,202.71,5.71,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2518,5.563,220.316,5.54,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1679,8.079,126.231,5.5,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2375,5.025,120.928,5.59,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,4.401,221.783,5.3,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.1679,1.829,86.644,5.92,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2518,6.925,190.019,5.54,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2518,18.241,175.615,5.66,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.1679,9.72,406.375,5.34,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,1.377,170.739,5.37,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2518,8.965,139.459,5.28,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2518,6.233,148.977,5.8,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2518,12.464,272.324,5.74,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2518,12.339,85.279,5.72,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,16.611,398.658,6.05,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.2375,9.753,212.903,5.97,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.1679,3.507,184.848,5.43,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,2.132,65.756,5.83,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2518,6.903,191.133,5.48,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2518,23.373,507.187,5.97,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2518,18.353,478.058,5.93,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2375,8.707,122.677,5.41,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.23,1.074,59.367,5.35,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2518,10.739,153.15,5.8,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,4.609,225.27,5.87,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.1679,3.646,125.693,5.75,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,453.48,1235.1,6.4,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.23,6.366,94.022,5.9,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,2.327,157.397,5.25,9.0341666675,21.5566666675,3.45333333325,barley,Gharb
0.2518,12.036,276.634,5.68,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.2375,8.243,199.565,6.05,8.59500000075,23.053333335,3.28833333325,barley,Fès-Meknès
0.23,42.895,383.306,5.92,9.0341666675,21.5566666675,3.45333333325,barley,Fès-Meknès
0.2518,51.843,265.166,5.45,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2375,7.469,325.68,5.73,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2518,7.166,182.313,5.63,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,4.467,118.401,6.49,9.0341666675,21.5566666675,3.45333333325,barley,Tadla
0.23,273.222,841.298,6.15,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2375,9.861,184.737,5.7,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.2518,223.348,658.37,5.75,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.2518,9.547,241.936,5.75,8.59500000075,23.053333335,3.28833333325,barley,Gharb
0.23,1.281,105.739,5.34,8.59500000075,23.053333335,3.28833333325,barley,Tadla
0.3215,7.0,820.0,5.7,11.71416666575,27.934166665,8.63166666575,barley,Fès-Meknès
0.2279,8.0,125.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Fès-Meknès
0.2279,7.0,92.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.2279,7.0,74.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.2279,4.0,101.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.2279,27.0,570.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Fès-Meknès
0.2279,8.0,114.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.1333,2.0,211.0,5.4,10.23500000175,24.9575,7.64500000075,barley,Gharb
0.1333,4.0,231.0,5.4,10.23500000175,24.9575,7.64500000075,barley,Fès-Meknès
0.1333,2.0,237.0,5.4,10.23500000175,24.9575,7.64500000075,barley,Gharb
0.1209,2.0,251.0,6.4,10.23500000175,24.9575,7.64500000075,barley,Fès-Meknès
0.1209,2.0,263.0,6.4,10.23500000175,24.9575,7.64500000075,barley,Gharb
0.2255,16.0,135.0,5.4,10.23500000175,24.9575,7.64500000075,barley,Fès-Meknès
0.250293402,2.0,172.0,5.8,10.435833335,25.3275,7.538333334,barley,Gharb
0.3087,3.0,584.0,5.3,10.435833335,25.3275,7.538333334,barley,Gharb
0.2279,3.0,111.0,5.3,10.435833335,25.3275,7.538333334,barley,Gharb
0.2279,9.0,80.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.2279,3.0,126.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.2279,3.0,202.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Fès-Meknès
0.2279,8.0,238.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.2279,2.0,147.0,5.3,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.0969,7.0,83.0,6.0,10.23500000175,24.9575,7.64500000075,barley,Tadla
0.1209,1.0,215.0,6.4,10.23500000175,24.9575,7.64500000075,barley,Gharb
0.253708879,6.0,172.0,6.1,10.435833335,25.3275,7.538333334,barley,Gharb
0.253708879,23.0,328.0,6.1,10.435833335,25.3275,7.538333334,barley,Tadla
0.31,12.1,701.0,5.45,9.474999999,24.6325,5.37166666575,barley,Tadla
0.19890058,8.0,448.0,5.1,10.435833335,25.3275,7.538333334,barley,Gharb
0.183923547,3.0,403.0,5.2,10.435833335,25.3275,7.538333334,barley,Gharb
0.164829547,11.48,134.6,5.7,11.71416666575,27.934166665,8.63166666575,barley,Fès-Meknès
0.164829547,9.0,117.0,5.7,10.435833335,25.3275,7.538333334,barley,Tadla
0.1639,2.8,100.79,5.4,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.18,4.0,291.0,6.2,9.474999999,24.6325,5.37166666575,barley,Fès-Meknès
0.278033635,4.45,84.1,5.8,10.435833335,25.3275,7.538333334,barley,Gharb
0.1639,1.0,203.0,5.4,10.435833335,25.3275,7.538333334,barley,Gharb
0.18,2.0,217.0,6.2,9.474999999,24.6325,5.37166666575,barley,Fès-Meknès
0.009379812,2.67,687.74,5.8,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.1638,4.0,52.0,5.7,10.435833335,25.3275,7.538333334,barley,Gharb
0.1638,1.0,238.0,5.7,10.435833335,25.3275,7.538333334,barley,Gharb
0.009379812,4.0,114.0,5.8,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.118456249,18.0,133.0,6.0,10.435833335,25.3275,7.538333334,barley,Tadla
0.153057985,1.0,167.0,5.4,10.435833335,25.3275,7.538333334,barley,Tadla
0.1639,1.0,119.0,5.72,10.435833335,25.3275,7.538333334,barley,Gharb
0.1639,2.08,159.04,5.6,10.435833335,25.3275,7.538333334,barley,Gharb
0.1639,4.0,147.0,5.04,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.1639,1.0,150.0,5.69,10.435833335,25.3275,7.538333334,barley,Tadla
0.1639,2.0,266.0,5.69,10.435833335,25.3275,7.538333334,barley,Gharb
0.17,3.06,284.05,5.67,9.474999999,24.6325,5.37166666575,barley,Gharb
0.1639,2.0,187.0,5.69,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.1639,1.0,271.0,5.78,10.435833335,25.3275,7.538333334,barley,Tadla
0.17,2.0,208.0,5.67,10.435833335,25.3275,7.538333334,barley,Gharb
0.14,0.64,242.0,6.48,11.71416666575,27.934166665,8.63166666575,barley,Tadla
0.252362008,12.0,831.0,7.0,10.435833335,25.3275,7.538333334,barley,Gharb
0.1639,3.0,246.0,5.51,10.435833335,25.3275,7.538333334,barley,Gharb
0.17,3.0,183.0,5.67,10.435833335,25.3275,7.538333334,barley,Tadla
0.252362008,13.78,312.09,7.0,10.435833335,25.3275,7.538333334,barley,Tadla
0.252834987,4.0,628.0,5.7,10.435833335,25.3275,7.538333334,barley,Tadla
0.1639,3.0,222.0,5.37,10.435833335,25.3275,7.538333334,barley,Gharb
0.17,3.38,167.04,5.67,10.435833335,25.3275,7.538333334,barley,Gharb
0.254730978,2.67,417.13,5.0,10.435833335,25.3275,7.538333334,barley,Tadla
0.1639,2.69,168.49,5.37,10.435833335,25.3275,7.538333334,barley,Gharb
0.17,7.0,437.0,5.67,10.435833335,25.3275,7.538333334,barley,Gharb
0.000261711,3.0,167.76,5.2,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.17,3.11,82.33,5.67,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.17,6.0,296.0,5.67,10.435833335,25.3275,7.538333334,barley,Tadla
0.000261711,8.0,144.0,5.2,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.17,6.0,105.0,5.67,10.435833335,25.3275,7.538333334,barley,Gharb
0.000261711,2.0,185.0,5.2,10.435833335,25.3275,7.538333334,barley,Gharb
0.17,8.0,135.0,5.67,10.435833335,25.3275,7.538333334,barley,Gharb
0.189,104.0,590.0,6.0,11.215000001,29.4958333325,5.60666666775,barley,Tadla
0.18,9.36,86.0,5.84,11.215000001,29.4958333325,5.60666666775,barley,Gharb
0.131,2.0,435.0,5.6,10.025,29.4158333325,3.40666666675,barley,Tadla
0.23,3.39,413.0,5.38,11.215000001,29.4958333325,5.60666666775,barley,Fès-Meknès
0.17,2.63,539.0,5.1,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.1419,5.0,418.0,6.5,9.474999999,24.6325,5.37166666575,barley,Fès-Meknès
0.18,1.23,220.0,4.99,10.435833335,25.3275,7.538333334,barley,Gharb
0.22,5.6,306.0,4.77,10.435833335,25.3275,7.538333334,barley,Gharb
0.16,10.9,444.0,6.33,9.474999999,24.6325,5.37166666575,barley,Gharb
0.2,1.61,410.0,4.87,10.435833335,25.3275,7.538333334,barley,Tadla
0.0437,4.0,403.0,7.3,9.474999999,24.6325,5.37166666575,barley,Gharb
